total_medals,Country_code,Country,year,gdp_per_capita_growth,under5_mortality,physicians_per_1000,life_expec_under5,population,urban_population_pct,log_population,log_medals
1.0,AFG,Afghanistan,2008,1.6772791560615,96.3,0.183,59.708,26482622.0,21.1241481349633,17.091999302258,0.6931471805599453
1.0,AFG,Afghanistan,2012,8.27936899310519,81.2,0.246,61.735,30560034.0,23.3434391310979,17.23520363482742,0.6931471805599453
0.0,AFG,Afghanistan,2016,-0.300121027406746,70.0,0.284,62.646,34700612.0,24.6588345720126,17.362267881649167,0.0
0.0,ALB,Albania,1992,-6.62255120696442,37.6,1.604,73.303,3247039.0,36.7184275131439,14.993254062100007,0.0
0.0,ALB,Albania,1996,8.00551384353483,32.4,1.318,74.113,3168033.0,38.8996042444751,14.968621448528866,0.0
0.0,ALB,Albania,2000,8.14996793452505,27.1,1.366,74.826,3089027.0,41.6135829609314,14.9433667125553,0.0
0.0,ALB,Albania,2004,5.70712308403314,21.4,1.194,75.951,3026939.0,44.9784925669394,14.92306243583516,0.0
0.0,ALB,Albania,2012,2.5545386692104,11.2,1.27,78.084,2860708.0,53.8637553661449,14.866579704607537,0.0
0.0,ALB,Albania,2016,5.52482598081943,9.4,1.212,78.643,2689469.0,55.5738734464276,14.804854334323002,0.0
0.0,AND,Andorra,2000,3.56776571144128,7.6,2.557,81.863,65685.0,92.2559356689453,11.092625867903608,0.0
0.0,AND,Andorra,2004,1.09540001410325,6.2,3.217,82.815,74325.0,90.5157699584961,11.216202647866298,0.0
0.0,AND,Andorra,2012,-3.80075429834201,4.1,3.112,84.334,76834.0,88.6290967082924,11.249402529502674,0.0
0.0,AND,Andorra,2016,3.69962046811506,3.4,4.058,84.489,72181.0,88.5027454634853,11.186932132354066,0.0
0.0,ARG,Argentina,1984,-0.0338209216825902,32.1,2.683,69.353,29863093.0,84.5580771403692,17.21213392810008,0.0
