total_medals,Country_code,Country,year,gdp_per_capita_growth,under5_mortality,physicians_per_1000,life_expec_under5,population,urban_population_pct,log_population,log_medals
2.0,ARG,Argentina,1988,-2.61112478271322,29.0,3.032,71.097,31780532.0,86.2212114718152,17.274364459020838,1.0986122886681098
1.0,ARG,Argentina,1992,6.45332357113911,27.6,2.636,72.096,33693527.0,87.4815873775619,17.332816299722076,0.6931471805599453
6.0,ARG,Argentina,2004,7.92951713016532,17.3,3.1857,74.871,38815916.0,89.9397208794212,17.474340926667512,1.9459101490553132
4.0,ARG,Argentina,2012,-2.0383253093713,13.3,4.823,75.802,42161721.0,91.2041217246797,17.55702328204735,1.6094379124341003
4.0,ARG,Argentina,2016,-3.02450095578762,11.4,5.024,76.105,43900313.0,91.5856817228217,17.59743200786053,1.6094379124341003
1.0,ARM,Armenia,2000,4.13075887426186,30.8,2.652,72.8804878048781,3221100.0,64.959237917436,14.985233474090336,0.6931471805599453
0.0,ARM,Armenia,2004,11.1144901880771,25.2,2.443,73.0268292682927,3164900.0,64.5972633621116,14.967632017484643,0.0
6.0,ARM,Armenia,2008,7.60294775074826,20.6,2.695,73.0731707317073,3087100.0,64.3840928379746,14.94274269686957,1.9459101490553132
3.0,ARM,Armenia,2012,7.33470454115984,17.0,2.859,74.119512195122,3024100.0,64.3268379506998,14.922124084517868,1.3862943611198906
4.0,ARM,Armenia,2016,0.611877151180408,14.0,2.887,74.8682926829268,2992300.0,64.5928753345316,14.911552880429745,1.6094379124341003
5.0,AUS,Australia,1976,1.56435628568006,16.2,1.5,73.0146341463415,14033000.0,85.9912185628314,16.45692225673327,1.791759469228055
24.0,AUS,Australia,1984,3.3166427647013,11.6,1.8,75.3878048780488,15579391.0,85.4475664516222,16.561459509067802,3.2188758248682006
14.0,AUS,Australia,1988,4.04503594783567,10.2,2.1,76.4326829268293,16532164.0,85.3697439220883,16.620818374719406,2.70805020110221
27.0,AUS,Australia,1992,-0.685109221290034,8.2,2.363,77.3780487804878,17478635.0,85.3907597470933,16.676489835897687,3.332204510175204
41.0,AUS,Australia,1996,2.61251726692284,6.8,2.39,78.0780487804878,18224767.0,85.2405932056372,16.718292051140782,3.7376696182833684
58.0,AUS,Australia,2000,2.73354609011429,6.2,2.476,79.2341463414634,19028802.0,85.1071608578257,16.761464284058956,4.07753744390572
50.0,AUS,Australia,2004,3.11057041061613,5.8,2.692,80.490243902439,19932722.0,85.518767609412,16.80787326088613,3.9318256327243257
46.0,AUS,Australia,2008,1.56811983624921,5.2,3.0,81.3951219512195,21249199.0,86.0253816967666,16.87182975850661,3.8501476017100584
35.0,AUS,Australia,2012,2.15339832775771,4.3,3.293,82.0463414634146,22733465.0,86.4451259136625,16.939348625917663,3.58351893845611
29.0,AUS,Australia,2016,1.16312811538609,3.8,3.557,82.4487804878049,24190907.0,87.0166295249235,17.001487376715872,3.4011973816621555
1.0,AUT,Austria,1976,4.76336934989831,21.1,1.5,71.5658536585366,7565525.0,53.198876513723,15.839112301342562,0.6931471805599453
2.0,AUT,Austria,1992,0.976092051303695,8.5,3.213,75.8170731707317,7840709.0,64.9499929346872,15.874839821911182,1.0986122886681098
3.0,AUT,Austria,1996,2.07784870159793,6.4,3.589,76.8707317073171,7959017.0,66.1109299621598,15.889816057732432,1.3862943611198906
3.0,AUT,Austria,2000,2.94168464206538,5.5,3.876,78.1268292682927,8011566.0,66.7690238969566,15.896396805553787,1.3862943611198906
7.0,AUT,Austria,2004,1.93089688878541,5.1,4.232,79.1804878048781,8171966.0,66.9558612872944,15.916220074362782,2.0794415416798357
3.0,AUT,Austria,2008,1.13621131218787,4.5,4.627,80.4317073170732,8321496.0,67.0435560819078,15.934352604326234,1.3862943611198906
0.0,AUT,Austria,2012,0.170488694211613,4.0,4.927,80.9365853658537,8429991.0,67.2085909812279,15.94730626236181,0.0
1.0,AUT,Austria,2016,1.01887723192984,3.6,5.129,81.6414634146342,8736668.0,67.7218061923556,15.983039439244974,0.6931471805599453
1.0,AZE,Azerbaijan,1996,0.280213889570334,91.0,3.729,62.66,7763000.0,52.1216049194336,15.864879415387817,0.6931471805599453
3.0,AZE,Azerbaijan,2000,10.1910292674816,74.0,3.552,65.377,8048600.0,51.1320838928223,15.90100872122664,1.3862943611198906
5.0,AZE,Azerbaijan,2004,8.30153847939059,55.5,3.54,67.488,8306500.0,52.2831993103027,15.93254889880867,1.791759469228055
7.0,AZE,Azerbaijan,2008,8.29339095519384,42.7,3.635,69.355,8763400.0,53.063304901123,15.986094515464323,2.0794415416798357
10.0,AZE,Azerbaijan,2012,0.85388594737168,33.2,3.449,71.08,9295784.0,53.8076442276208,16.04507152200353,2.3978952727983707
18.0,AZE,Azerbaijan,2016,-4.14117487259738,26.3,3.262,72.568,9757812.0,55.7574797205266,16.09357875292924,2.9444389791664403
0.0,BDI,Burundi,2000,-2.89542791949714,153.7,0.052,47.617,6470194.0,8.04381449833197,15.682716650571605,0.0
0.0,BDI,Burundi,2004,0.997721140754805,131.0,0.027,52.217,7310656.0,8.9185547789176,15.80484356778164,0.0
0.0,BDI,Burundi,2012,0.762376963720541,80.2,0.049,58.501,10071028.0,12.2244596804615,16.12517334488657,0.0
6.0,BEL,Belgium,1976,5.46414014877136,17.6,1.9,72.119756097561,9818227.0,73.1119397796152,16.099751114131386,1.9459101490553132
1.0,BEL,Belgium,1980,4.32900829107655,14.5,2.3,73.2070731707317,9859242.0,74.7214236886134,16.10391984735594,0.6931471805599453
4.0,BEL,Belgium,1984,2.46792120866535,12.2,2.7,74.4048780487805,9855372.0,76.2916732112078,16.10352724519292,1.6094379124341003
2.0,BEL,Belgium,1988,4.39079485847489,10.7,3.1,75.5658536585366,9901664.0,77.8144345775361,16.108213381788904,1.0986122886681098
3.0,BEL,Belgium,1992,1.11956566849732,9.2,3.391,76.3512195121951,10045158.0,79.2814540177363,16.122601285325985,1.3862943611198906
6.0,BEL,Belgium,1996,1.12365026891848,7.2,3.608,77.1873170731707,10156637.0,80.6844777619461,16.133637941383707,1.9459101490553132
5.0,BEL,Belgium,2000,3.46547823151502,5.9,2.829,77.7219512195122,10251250.0,82.0152520403035,16.142910207332758,1.791759469228055
3.0,BEL,Belgium,2004,3.1239312841995,5.2,2.868,78.8780487804878,10421137.0,83.2655230829461,16.159346705419193,1.3862943611198906
